日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,文山測站,O3,35.7,24.8,#,17.3,20.1,25.9,25.1,28.2,22.6,39.3,42.5,46.5,47.2,49.3,52,59.4,56.3,47.8,46.6,49.8,49,43.3,27.9,12.6
2018/12/02,文山測站,O3,5.4,6.5,#,5,5.6,7.6,6.7,5.3,11.9,23.3,31.9,43.7,56.8,62.4,57.4,46.5,40.9,33.2,31.6,28.1,20.4,14.6,22.1,16.8
2018/12/03,文山測站,O3,6.1,8.9,#,10.2,4.2,3.1,2.9,5.3,6.4,10.4,24.3,38.7,47.7,46.2,41.4,41.9,37.8,27,21.3,27.4,28,15.2,3.4,2.4
2018/12/04,文山測站,O3,2.5,2.5,#,2.5,2.4,2.6,2.7,4.5,3.8,10.3,25.8,29.9,28.9,27.5,24.9,23.3,19.7,11.9,6.4,12.5,5.8,6.2,3.9,4.2
2018/12/05,文山測站,O3,2.7,2.4,#,16.4,14,13.8,16.1,15.2,16.4,22.9,#,#,41.1,42.7,42.5,34,25,21,17.6,13.5,7.8,3.5,2.6,2.5
2018/12/06,文山測站,O3,3,10.9,#,11.5,12.7,13.6,16.2,11.9,10.6,13.9,23.4,31,38.6,47.8,36.1,31.8,41.8,37.2,30,22,17.8,13.3,9.3,8.7
2018/12/07,文山測站,O3,10.9,16.7,#,23.4,22.9,24.9,24.6,23.6,24.5,26.8,29.3,34.1,36.2,37.5,36.3,32.2,25.4,20.3,19.9,20.4,22.1,21.6,23.3,23.3
2018/12/08,文山測站,O3,23.4,23.5,#,23.4,23.8,24.6,23.9,23.7,24.2,25.4,29.5,33.3,36.8,37.9,35.3,30.4,26.7,23.8,22.1,21.1,19.6,20.6,21.6,21.7
2018/12/09,文山測站,O3,22.5,22.2,#,23.5,24.4,22.4,21,21.4,19.2,18.1,23,25.2,29.2,31.1,30.4,29,26.6,23.2,21.6,21.4,21.6,19.7,18.9,17.2
2018/12/10,文山測站,O3,18.7,19.3,#,20.8,20.9,20.9,19.1,16.6,15.3,17.4,17.4,17,16.3,16.7,19.2,18.2,17,14.9,13.9,15.9,15.9,12.8,11.5,11.3
2018/12/11,文山測站,O3,10,9.5,#,3.7,6.5,7.9,5.1,10.4,14,15.9,17.4,21.3,25,26.8,27.2,27.1,24,16,13.6,16.7,16.8,18.4,22,21.6
2018/12/12,文山測站,O3,20.4,23.5,#,24.7,26.2,25.9,22.9,21.8,#,23.5,24.7,24.8,26.6,25.2,22.9,20.3,18.6,15.1,16.6,15.9,16.2,19.1,20.9,21.8
2018/12/13,文山測站,O3,21.7,21.1,22.4,#,22.9,23.6,22.1,20.4,19.2,21.6,26.2,25.4,8,9.2,12.3,12.5,10.4,9,8.2,7.3,6.8,6.9,6.4,6.2
