日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,文山測站,PM10,162,127,111,109,82,99,97,113,99,118,86,83,62,67,60,59,88,90,94,96,101,122,131,115
2018/12/02,文山測站,PM10,105,103,85,75,68,67,58,55,54,47,28,34,42,63,56,57,63,53,48,57,79,98,108,93
2018/12/03,文山測站,PM10,97,87,79,76,79,94,88,85,78,82,81,83,62,52,43,44,40,40,51,36,24,27,28,52
2018/12/04,文山測站,PM10,59,59,62,65,63,62,57,72,67,70,80,71,22,21,24,24,22,20,26,29,25,30,40,36
2018/12/05,文山測站,PM10,36,37,48,58,63,48,43,38,36,36,39,#,#,35,46,52,59,72,67,61,49,50,45,38
2018/12/06,文山測站,PM10,39,46,41,35,43,36,48,51,47,49,56,38,42,46,48,44,31,63,#,#,#,#,#,#
2018/12/07,文山測站,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,32,32,31,19,14,18,15
2018/12/08,文山測站,PM10,20,14,13,12,16,9,13,12,12,17,24,27,25,25,29,32,35,32,30,16,23,14,11,15
2018/12/09,文山測站,PM10,16,19,15,16,17,17,7,8,16,7,15,16,15,22,19,18,25,22,20,20,19,15,15,14
2018/12/10,文山測站,PM10,16,15,12,15,18,15,18,18,14,21,26,23,21,14,23,26,21,32,34,39,36,34,35,29
2018/12/11,文山測站,PM10,36,41,38,31,35,28,31,39,37,39,39,39,36,35,40,37,34,30,31,36,31,19,21,20
2018/12/12,文山測站,PM10,20,21,18,17,21,19,13,21,18,23,26,35,38,23,30,30,39,34,31,33,35,39,37,42
2018/12/13,文山測站,PM10,41,43,40,33,32,30,30,31,32,30,28,29,36,33,39,57,43,36,36,36,40,38,30,28
2018/12/14,文山測站,PM10,25,25,30,21,25,26,27,19,23,21,25,30,40,43,47,60,50,43,26,24,17,19,20,20
2018/12/15,文山測站,PM10,18,19,18,18,22,23,26,22,22,27,31,52,59,62,49,61,53,43,51,53,43,42,44,45
2018/12/16,文山測站,PM10,43,37,30,33,32,35,41,38,46,50,59,69,64,73,62,62,51,36,36,30,27,24,16,20
2018/12/17,文山測站,PM10,23,34,37,40,27,21,19,28,32,41,46,51,56,52,59,63,67,73,72,60,58,41,30,37
2018/12/18,文山測站,PM10,42,35,32,32,31,27,32,35,37,53,70,73,67,69,#,#,68,69,67,72,64,68,83,73
2018/12/19,文山測站,PM10,69,73,65,61,67,60,55,58,61,63,68,70,84,91,81,82,91,147,180,145,146,85,105,126
2018/12/20,文山測站,PM10,128,93,64,71,86,81,79,65,68,104,80,70,35,27,26,35,60,65,78,77,73,63,47,52
2018/12/21,文山測站,PM10,62,67,68,62,60,70,77,64,65,66,80,74,70,68,65,72,70,77,74,66,69,66,76,100
2018/12/22,文山測站,PM10,90,87,100,100,97,101,87,79,78,71,80,73,77,83,81,83,89,92,99,83,90,90,89,96
2018/12/23,文山測站,PM10,111,107,108,98,68,73,83,71,61,59,58,48,44,45,38,32,28,25,18,14,15,12,12,10
2018/12/24,文山測站,PM10,7,15,13,10,11,12,12,11,18,14,22,17,18,16,20,27,21,20,20,16,14,21,23,21
2018/12/25,文山測站,PM10,26,27,28,19,19,27,25,27,36,41,38,33,36,48,45,#,#,#,55,35,31,25,25,18
2018/12/26,文山測站,PM10,16,15,#,13,17,15,22,28,29,33,30,26,33,35,30,36,30,26,26,25,25,26,30,24
2018/12/27,文山測站,PM10,34,33,29,32,32,24,23,19,19,22,33,23,24,26,30,26,34,22,23,20,17,10,17,20
2018/12/28,文山測站,PM10,19,15,18,14,17,16,15,13,17,21,20,23,25,22,26,38,#,30,25,24,19,23,17,17
2018/12/29,文山測站,PM10,18,21,18,19,17,19,18,22,22,24,26,24,25,26,24,26,35,38,28,22,18,20,13,16
2018/12/30,文山測站,PM10,17,20,17,16,16,11,13,10,14,17,22,26,25,33,35,41,38,40,26,23,22,20,14,12
2018/12/31,文山測站,PM10,13,25,23,21,23,15,16,14,18,11,18,24,16,18,22,22,25,22,18,21,11,15,15,14
