日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,文山測站,PM2.5,86,76,63,59,44,51,47,51,39,51,35,28,23,25,21,21,34,37,39,44,49,66,73,69
2018/12/02,文山測站,PM2.5,66,56,48,44,42,35,37,28,30,24,11,12,19,34,27,28,28,23,24,29,43,60,69,59
2018/12/03,文山測站,PM2.5,60,47,46,52,53,63,66,60,49,46,40,31,28,22,16,11,17,23,21,15,10,14,10,22
2018/12/04,文山測站,PM2.5,27,28,34,35,35,32,35,38,33,33,33,26,6,4,7,4,4,6,13,15,13,16,17,20
2018/12/05,文山測站,PM2.5,20,22,24,34,33,33,29,25,20,17,19,#,#,11,25,22,20,24,22,24,24,25,23,24
2018/12/06,文山測站,PM2.5,24,20,16,17,20,22,20,18,21,24,22,15,16,18,19,14,13,26,28,29,35,41,41,34
2018/12/07,文山測站,PM2.5,25,18,19,18,9,13,11,8,7,7,6,7,5,9,8,8,12,9,11,11,9,10,8,8
2018/12/08,文山測站,PM2.5,9,15,9,1,7,5,5,6,9,8,5,3,9,9,8,12,15,10,11,12,7,11,4,5
2018/12/09,文山測站,PM2.5,10,4,9,14,10,6,6,5,7,10,6,9,9,7,11,9,7,12,16,10,10,8,12,8
2018/12/10,文山測站,PM2.5,12,12,8,11,17,14,11,13,14,14,12,17,13,8,14,17,14,18,17,23,21,18,20,26
2018/12/11,文山測站,PM2.5,14,20,32,22,16,17,21,23,22,25,24,18,16,18,23,23,23,22,21,21,18,11,9,10
2018/12/12,文山測站,PM2.5,10,8,6,9,8,9,9,10,8,11,11,14,13,16,10,14,13,16,22,20,24,25,24,32
2018/12/13,文山測站,PM2.5,25,25,31,28,27,21,23,24,18,21,19,14,18,13,18,18,19,22,25,25,25,30,23,20
2018/12/14,文山測站,PM2.5,17,16,22,20,19,21,21,12,13,12,8,11,17,18,20,18,16,13,13,12,19,14,11,6
2018/12/15,文山測站,PM2.5,15,14,12,15,15,19,15,#,15,16,17,22,34,33,24,24,24,23,26,29,22,21,24,25
2018/12/16,文山測站,PM2.5,22,16,23,17,13,19,20,19,22,26,25,31,27,26,22,25,23,22,16,13,19,15,8,11
2018/12/17,文山測站,PM2.5,18,16,18,18,17,15,16,20,16,22,24,23,23,23,28,30,29,34,35,30,27,21,16,17
2018/12/18,文山測站,PM2.5,18,20,18,22,20,16,17,19,19,25,34,34,29,32,#,#,30,25,27,31,32,36,38,41
2018/12/19,文山測站,PM2.5,42,40,42,38,43,42,41,37,39,30,34,33,37,35,38,34,47,87,113,93,83,64,70,85
2018/12/20,文山測站,PM2.5,83,62,40,47,56,52,52,44,43,64,41,34,20,15,15,17,33,24,39,46,43,36,27,30
2018/12/21,文山測站,PM2.5,35,37,43,46,39,47,58,43,41,40,43,41,38,34,29,34,33,28,27,32,34,41,45,51
2018/12/22,文山測站,PM2.5,52,47,55,57,57,66,40,31,36,39,32,28,32,35,39,36,37,32,36,43,42,44,44,47
2018/12/23,文山測站,PM2.5,57,55,60,53,43,37,46,39,31,30,24,27,19,18,17,13,10,15,9,14,10,14,13,10
2018/12/24,文山測站,PM2.5,10,13,15,11,8,9,11,14,7,10,12,11,10,7,8,14,13,11,15,5,7,13,16,17
2018/12/25,文山測站,PM2.5,15,14,15,13,10,17,7,17,17,25,24,15,15,17,21,#,#,#,26,24,21,21,20,15
2018/12/26,文山測站,PM2.5,15,#,13,13,12,11,17,23,21,20,13,12,16,18,20,19,21,14,9,16,14,20,14,11
2018/12/27,文山測站,PM2.5,19,24,19,14,15,10,12,9,10,10,12,10,9,11,10,10,11,8,7,10,6,7,9,10
2018/12/28,文山測站,PM2.5,11,3,8,6,9,10,9,8,8,6,6,3,8,9,7,11,#,13,13,14,9,14,9,13
2018/12/29,文山測站,PM2.5,10,8,11,12,12,16,14,11,10,10,12,8,9,12,9,11,19,13,15,12,8,11,5,8
2018/12/30,文山測站,PM2.5,9,8,5,9,10,6,9,8,7,11,9,12,20,18,17,17,16,17,7,11,11,11,13,13
2018/12/31,文山測站,PM2.5,6,11,19,15,12,12,9,6,9,6,9,13,15,16,10,14,15,12,15,12,11,7,9,9
