日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,文山測站,WS,0.89,0.35,0.29,0.14,0.43,0.99,1.49,0.95,2.1,2.14,3.56,3.71,2.8,2.09,1.81,2.97,2.78,2.93,2.29,2.2,1.63,1.36,0.74,0.17
2018/12/02,文山測站,WS,0.27,0.36,0.41,0.28,0.28,0.72,0.79,0.28,0.7,0.28,0.74,2.17,2.04,1.79,2.32,2.44,1.27,1.02,1.52,1.37,1.06,0.96,1,0.69
2018/12/03,文山測站,WS,0.36,0.55,0.41,0.53,0.47,0.34,0.37,0.15,0.57,0.44,1.42,2.31,2.7,2.81,2.93,2.69,2.63,1.99,1.78,2.18,1.75,0.16,0.2,0.15
2018/12/04,文山測站,WS,0.12,0.3,0.38,0.27,0.28,0.38,0.74,0.68,0.45,0.73,1.19,1.78,1.85,2.33,2.96,3.09,2.59,1.95,1.92,2.56,2.36,2.6,2.25,2.05
2018/12/05,文山測站,WS,1.05,0.86,2.87,3.77,3.58,2.88,3.13,3.73,2.85,2.67,3.4,4.23,4.25,4.33,3.88,3.94,3.81,3.21,2.2,1.85,0.93,0.79,0.69,0.36
2018/12/06,文山測站,WS,0.73,1.77,1.49,0.85,1,1.85,2.43,1.57,1.4,0.89,1.4,2.58,2.64,3.13,4.14,3.79,4.27,3.96,3.35,3.07,2.23,1.23,1.94,1.94
2018/12/07,文山測站,WS,2.91,4.26,5.04,4.11,4.22,4.21,4.42,4.99,5.48,4.77,4.48,4.45,4.8,5.28,5.13,6.03,5.14,5.47,5.76,5.44,5.37,5.27,5.04,4.54
2018/12/08,文山測站,WS,4.56,4.86,5.08,4.96,5.54,5.22,4.99,5.08,5.27,5.71,6.81,6.07,5.86,5.89,5.22,5,4.8,4.61,3.86,3.6,3.03,3.58,4.01,4.4
2018/12/09,文山測站,WS,4.39,4.27,5,5.23,4.55,4.05,3.46,3.79,2.27,2.36,4.19,4.45,5,5.51,5.25,5.05,4.53,3.7,4.05,3.13,3.14,2.68,2.92,2.78
2018/12/10,文山測站,WS,3.15,3.5,3.59,4.16,4.12,3.97,3.83,3.29,3.87,4.93,5.39,5.21,5.57,5.43,5.17,3.85,4.05,4.15,3.14,3.72,3.06,2.73,2.19,1.74
2018/12/11,文山測站,WS,1.44,1.82,1.35,2.06,2.16,1.97,1.68,3.38,4.22,4.13,4.5,4.77,5.67,5.59,5.62,5.61,5.49,5.5,5.44,6.18,4.4,4.48,5.81,5.53
2018/12/12,文山測站,WS,6.01,5.84,5.78,5.92,5.89,5.25,5.22,4.81,6.09,5.52,4.68,5.2,5.24,6.29,5.74,5.59,4.8,3.96,4.09,4.29,3.64,4.18,4.49,4.1
2018/12/13,文山測站,WS,3.89,3.46,2.91,3.18,2.98,3.64,3.78,3.93,3.91,3.52,3.31,1.98,3.4,4.53,5.27,5,4.82,5.2,4.52,3.81,2.95,2.91,1.88,2.18
2018/12/14,文山測站,WS,2.75,1.74,1.62,1.57,1.31,1.43,1.86,2.17,2.18,1.23,1.89,3.11,3.56,3.45,3.85,3.97,4.19,3.85,3.41,4.09,3.72,2.99,2.14,2.03
2018/12/15,文山測站,WS,2.07,1.81,2.61,1.58,0.96,1.35,1.34,1.61,0.84,0.79,0.94,1.65,2.06,2.77,3.07,3.58,2.77,1.59,2.5,2.07,1.15,1.07,1.23,0.51
2018/12/16,文山測站,WS,0.51,0.92,1.18,1.59,1.57,1.52,0.99,0.98,1.67,1.88,1.91,1.67,3.65,4.51,3.34,5.01,5.41,5.12,4.22,3.88,3.42,3.76,3.02,2.82
