日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,大甲測站,CO,1.1,0.9,0.8,0.7,0.7,0.8,1.1,1.6,0.9,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.8
2018/12/02,大甲測站,CO,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.8,1.1,0.9,0.7,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.7
2018/12/03,大甲測站,CO,0.7,0.6,0.6,0.6,0.7,0.7,0.9,1,1,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.8,0.8,0.9,1,1,0.8,0.7
2018/12/04,大甲測站,CO,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.9,0.9,0.7,0.7,0.8,0.7
2018/12/05,大甲測站,CO,0.7,0.7,0.9,0.9,0.8,0.8,0.7,0.8,0.7,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2018/12/06,大甲測站,CO,0.9,0.9,0.8,0.7,0.6,0.7,0.7,0.8,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.7
2018/12/07,大甲測站,CO,0.6,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
2018/12/08,大甲測站,CO,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.5,0.5
2018/12/09,大甲測站,CO,0.5,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.7
2018/12/10,大甲測站,CO,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.6
