日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,太平測站,WD,218,169,169,67,60,59,356,18,5,300,325,318,325,335,344,328,330,331,331,8,67,67,78,79
2018/12/02,太平測站,WD,62,59,54,61,59,39,38,66,123,253,256,236,233,220,202,221,225,192,193,53,79,68,61,62
2018/12/03,太平測站,WD,57,54,54,58,59,50,62,62,155,235,199,198,325,331,331,338,328,343,56,72,67,59,62,59
2018/12/04,太平測站,WD,76,68,63,64,66,52,61,73,144,179,349,344,324,326,330,338,327,359,25,18,35,68,91,96
2018/12/05,太平測站,WD,73,53,36,29,51,80,55,90,95,349,291,331,322,323,326,321,318,326,337,330,344,255,64,58
2018/12/06,太平測站,WD,77,75,338,150,71,91,59,97,43,277,314,326,323,325,329,329,331,330,329,329,334,70,340,331
2018/12/07,太平測站,WD,331,334,337,360,337,338,333,330,332,315,329,311,318,331,332,335,337,336,340,337,0,336,337,342
2018/12/08,太平測站,WD,336,340,341,340,343,360,8,352,337,323,332,330,328,334,335,335,333,334,336,331,331,340,341,340
2018/12/09,太平測站,WD,351,360,344,343,344,344,331,336,203,313,346,326,339,338,334,332,337,331,333,338,332,337,337,335
2018/12/10,太平測站,WD,344,351,4,345,23,341,24,21,331,4,341,353,332,333,338,325,329,339,333,348,360,350,325,342
2018/12/11,太平測站,WD,357,46,33,60,63,40,104,357,353,338,328,330,330,331,332,333,334,339,338,336,333,336,338,355
2018/12/12,太平測站,WD,347,357,2,350,357,8,4,348,352,11,2,332,334,336,7,335,336,332,335,343,353,335,356,338
2018/12/13,太平測站,WD,357,332,332,333,332,336,9,356,330,210,342,241,312,333,338,334,331,341,332,332,328,334,329,339
2018/12/14,太平測站,WD,329,334,340,337,337,58,319,24,199,279,305,315,315,309,331,330,331,333,332,333,343,331,325,334
2018/12/15,太平測站,WD,334,333,340,166,176,213,180,116,185,211,238,216,219,232,303,323,336,333,330,328,79,73,66,115
2018/12/16,太平測站,WD,212,118,66,35,120,71,128,340,337,319,306,316,320,331,331,330,332,334,344,337,358,1,342,32
2018/12/17,太平測站,WD,340,340,339,333,337,333,357,338,358,23,336,330,333,333,332,330,331,335,336,339,336,2,7,5
2018/12/18,太平測站,WD,35,55,64,105,215,71,57,152,320,155,282,200,257,242,287,323,319,311,36,60,59,60,59,64
2018/12/19,太平測站,WD,54,52,87,221,75,136,237,64,162,184,196,193,204,200,215,220,207,210,60,60,51,65,55,70
2018/12/20,太平測站,WD,54,59,61,56,61,42,48,56,139,160,224,143,251,238,239,251,341,343,353,10,83,76,62,39
2018/12/21,太平測站,WD,70,48,76,65,49,68,88,108,162,287,320,334,317,313,329,330,324,332,331,4,151,186,178,103
2018/12/22,太平測站,WD,156,178,190,76,71,63,94,107,355,351,319,329,304,293,307,320,318,328,335,345,338,355,359,344
2018/12/23,太平測站,WD,8,28,79,341,354,9,52,72,74,37,339,288,313,332,332,333,330,332,358,327,329,345,331,328
2018/12/24,太平測站,WD,338,336,338,337,335,335,341,353,342,331,340,327,326,331,331,332,327,333,333,328,338,335,335,46
2018/12/25,太平測站,WD,205,201,208,10,166,297,337,338,19,245,299,308,314,330,330,327,329,336,331,329,332,334,331,336
2018/12/26,太平測站,WD,339,332,335,333,335,331,337,333,359,294,294,311,328,327,333,331,330,332,338,334,330,346,335,333
2018/12/27,太平測站,WD,339,345,341,339,340,342,346,343,5,22,351,333,332,332,336,335,342,349,9,14,342,344,341,12
2018/12/28,太平測站,WD,13,12,13,17,20,14,13,14,10,353,334,332,332,332,331,333,338,336,338,338,336,335,2,8
2018/12/29,太平測站,WD,5,6,5,16,20,16,10,8,22,357,333,334,321,315,335,335,340,340,343,4,5,26,56,61
2018/12/30,太平測站,WD,79,88,97,152,52,0,91,182,180,214,252,329,7,32,164,224,289,344,345,331,332,329,332,333
2018/12/31,太平測站,WD,340,341,349,336,345,340,7,331,331,343,335,337,335,334,336,330,331,332,332,330,341,39,64,73
