日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/12/01,烏日測站,SO2,5.1,4.6,3.7,3.5,2.7,3.2,4.1,5,4.9,5.1,3.1,2.5,2.5,2.5,2.6,3.1,3.9,3.6,3.4,3.4,3.6,3.2,3.7,3.4
2018/12/02,烏日測站,SO2,2,1.8,1.6,1.6,1.5,2.8,3.1,3.3,2.1,1.8,1.8,2.9,4.1,4.4,4.1,4.4,3.9,4.4,3.4,3.8,3.6,3.4,3.9,3.2
2018/12/03,烏日測站,SO2,1.9,1.8,1.9,1.8,1.4,2.8,3.4,4.1,5.9,3.7,3.8,3.3,7.1,4.4,4.4,3.4,3.3,3.4,5.1,3.8,3.8,4.1,4,4.4
2018/12/04,烏日測站,SO2,7.2,3.9,2.4,2.1,2.2,3.2,3.7,4.3,4.9,2.7,2.5,2.3,2.1,3.7,2.7,3.1,2.2,2.2,2.6,3.7,4.1,4.2,3.9,2.9
2018/12/05,烏日測站,SO2,2.8,3,3.5,3.1,2.7,3.1,4.5,4.4,3.7,3.2,3.1,2.6,2.4,3,3.3,3.2,3.1,2.9,3.1,3.3,3.2,3.6,3.3,4.2
2018/12/06,烏日測站,SO2,3.4,3.8,3.7,3.4,8.6,5.3,4.4,4.1,5.5,5.6,#,2.8,2.7,3.6,2.8,2.3,2.6,2.6,2.5,2.9,3.1,2.4,2.5,2.3
2018/12/07,烏日測站,SO2,2.3,2.4,2.4,2.2,1.4,2,2.6,3.1,2.4,2,2,2.2,1.9,2.1,2.5,2.3,1.8,2.1,2.3,2.4,2.2,3.2,3,2.6
2018/12/08,烏日測站,SO2,2.1,1.8,1.7,1.7,2.2,2.4,2.1,2.2,1.9,2,1.8,1.8,1.5,1.4,1.7,2,2,1.7,1.6,1.6,2.3,3.2,2.6,2.6
2018/12/09,烏日測站,SO2,2,1.6,1.5,1.5,2,2.3,2.2,2.2,2.1,1.8,1.6,1.6,1.1,1.4,1.5,1.7,1.4,1.7,1.6,1.7,1.9,3,2.9,2.7
2018/12/10,烏日測站,SO2,2.2,2.2,2.2,1.9,2.2,3.2,3,3.5,2.5,1.9,1.9,2.1,1.5,1.5,1.7,1.9,2,1.9,2.7,2.1,2.2,2.3,3.4,3.4
2018/12/11,烏日測站,SO2,2.2,2.1,2.1,2.3,2.1,3.4,3.7,4.7,6,4.3,4.8,3.3,1.9,2.2,2.4,2.2,1.8,2.3,2.6,2.3,2.3,3.4,3.2,2.9
2018/12/12,烏日測站,SO2,2.3,1.9,1.7,1.7,2.2,2.3,2.2,2.2,2.7,1.9,2.1,2.1,2.3,2.9,2.7,2.6,2.7,2.7,2.5,2.1,2.9,3.1,2.8,2.8
2018/12/13,烏日測站,SO2,2.5,2.1,2.8,2.4,3.2,2.9,2.8,2.5,3.1,2.2,2.4,2.6,2.4,2.4,2.7,2.9,3.1,2.9,3,2.9,3.1,3.3,3.1,3
2018/12/14,烏日測站,SO2,2.6,2.5,2.6,2.6,2.7,3.1,3.5,3.3,3.3,3.9,4.5,2.7,#,2.9,3.5,3.7,2.4,2.3,2.4,2.5,2.6,3.2,2.9,2.6
2018/12/15,烏日測站,SO2,2.3,2.3,2.4,2.2,2.8,2.9,3.1,3.6,3,2.9,3.6,3.2,3.1,4.7,4.1,4,2.9,3.6,4.3,3.5,3.3,5.2,4.8,4.4
2018/12/16,烏日測站,SO2,3.1,3.1,2.9,2.8,3.5,5.6,6.1,5.8,4.7,4.2,3.8,#,2.5,2.8,3.2,2.7,1.9,2.4,2.6,2.1,2.8,3.5,3,3.3
2018/12/17,烏日測站,SO2,2.9,2.4,2.3,2.3,2.9,2.7,2.3,2.5,3.1,2.5,2.4,2.5,2.6,2.6,2.8,3,3.4,3.6,3.3,3.2,3.8,3.3,3.1,3.1
2018/12/18,烏日測站,SO2,3.8,3.2,2.3,2.1,2.5,2.9,3.2,4.3,4.4,4.2,4.4,4.2,3.3,3.3,5.5,5.3,9.9,11.3,13.5,4.4,5.2,4.1,4,7.3
2018/12/19,烏日測站,SO2,4.4,2.9,2.5,2.6,3.3,3,3.6,4.7,4.1,3.1,3.5,3.4,3.7,3.8,4.2,3.9,3.7,5.3,5,4.5,5.4,6.1,4.7,4.1
2018/12/20,烏日測站,SO2,4.1,2.7,2.8,2.4,3.1,2.9,3.2,4.8,5.3,3.7,2.7,2.3,2.6,2.6,3.8,4.8,8.3,8.1,3.7,3.7,4.4,4.8,4.8,4.6
2018/12/21,烏日測站,SO2,3.7,3,2.7,2.4,4.5,4,3.6,4.7,4.7,4.8,4.8,5.4,5.9,4.8,3.8,3.6,3,2.5,2.4,4.1,3.9,3.7,3.8,7.7
2018/12/22,烏日測站,SO2,5.5,3.8,2.3,2.2,2.6,3.6,3.8,5,4.2,3.3,3.3,3.2,3.3,4.2,4.5,4.7,3.7,3.2,2.7,2.6,2.7,4.1,4.1,4
2018/12/23,烏日測站,SO2,2.8,3.1,3.3,3.3,2.9,4.2,5.4,5.2,3.7,2.7,2.7,2.8,2.6,2.8,2.6,2.6,2.1,2,2.1,2,2.5,3.7,3.7,3.3
2018/12/24,烏日測站,SO2,2.3,2,1.9,2.2,2.9,2.9,2.7,2.9,#,2.4,2.3,2.3,2,2,2.3,2.4,2.2,2.4,2.3,2.2,2.7,3.6,3.3,3.4
2018/12/25,烏日測站,SO2,3.1,2.5,2.4,2.4,3.1,4.2,4.4,5.1,4.4,4.4,3.5,2.9,3.5,3.2,3.1,3.1,2.3,2.3,2,2,1.8,1.8,1.9,2.9
2018/12/26,烏日測站,SO2,1.9,1.9,1.8,1.7,1.9,1.9,2,2.2,2.6,2.5,2.6,2.4,2.3,2.8,3,2.8,2.3,2.4,2.8,3.1,2.4,2.8,3.9,3.7
2018/12/27,烏日測站,SO2,2.6,2.5,2.1,2.2,2.4,3.6,3.4,3,2.6,2,2.1,2,2.2,2.1,2.2,2.8,2.7,2,2.1,2,3,2.9,2.8,2.7
2018/12/28,烏日測站,SO2,2.3,1.9,1.8,1.7,2.6,2.6,2.4,3.3,3.6,3.7,3.3,2.8,2.5,2.3,2,2,2.4,2.2,2.4,2.4,3.1,2.8,2.7,2.6
2018/12/29,烏日測站,SO2,2.5,1.8,1.9,1.8,2.6,2.5,2.6,2.6,2.5,2.1,2,2.3,2.6,3.5,3.2,3.2,2.6,2.2,2.2,2.3,2.8,2.4,2.4,2.5
2018/12/30,烏日測站,SO2,2.5,2.1,2.1,1.9,2.8,2.7,2.8,2.9,3.8,2.8,2.5,2.5,2.2,2.2,2.3,2.4,2.7,2.3,2.5,2.3,3.3,2.6,2.7,2.5
2018/12/31,烏日測站,SO2,2.4,2,2,1.9,2.9,2.9,2.9,2.6,2.3,2.1,1.9,1.9,2.6,3.5,3.4,3.5,2.8,2,2.1,2.1,3,2.7,3.1,3.1
